UF;POP_2010_COMPAT;POP_2022;CRESCIMENTO
SP;41262199.0;44411238.0;3149039.0
SC;6248436.0;7610361.0;1361925.0
GO;6001789.0;7056495.0;1054706.0
PR;10444526.0;11444380.0;999854.0
MG;19597330.0;20539989.0;942659.0
MT;3035122.0;3658649.0;623527.0
PA;7581051.0;8120131.0;539080.0
AM;3483985.0;3941613.0;457628.0
CE;8451644.0;8794957.0;343313.0
ES;3514952.0;3833712.0;318760.0
MS;2449024.0;2757013.0;307989.0
PE;8796055.0;9058931.0;262876.0
DF;2572159.0;2817381.0;245222.0
PB;3766528.0;3974687.0;208159.0
MA;6574789.0;6776699.0;201910.0
RS;10693929.0;10882965.0;189036.0
RR;450479.0;636707.0;186228.0
PI;3119097.0;3271199.0;152102.0
SE;2067852.0;2210004.0;142152.0
RN;3168027.0;3302729.0;134702.0
TO;1383445.0;1511460.0;128015.0
BA;14017071.0;14141626.0;124555.0
AC;733559.0;830018.0;96459.0
RJ;15989929.0;16055174.0;65245.0
AP;669526.0;733759.0;64233.0
RO;1562409.0;1581196.0;18787.0
AL;3120887.0;3127683.0;6796.0
Fonte: IBGE. Diretoria de Pesquisas - DPE -  Coordenação Técnica do Censo Demográfico - CTD;0.0;0.0;0.0
Nota: Para o cálculo das taxas de crescimento geométrico da população do período 2010/2022, assim como para o cálculo da sua variação absoluta, foram utilizadas as populações municipais (ou estaduais) residentes em 2010, reconstituídas de acordo com a base territorial de 2022. Essa compatibilização se faz necessária para os casos em que houve alteração de limite territorial entre municípios (ou estados) após 2010, para que a taxa de crescimento populacional seja calculada sem o efeito da alteração territorial.;0.0;0.0;0.0
